종목코드,종목명,종가,대비,등락률,상장시가총액
"010050","금호종금","575","20","3.60","103444138750"
"010780","아이에스동서","6710","260","4.03","114219995340"
"010960","삼호개발","6290","720","12.93","125800000000"
"011930","신성홀딩스","5850","130","2.27","103129650000"
"014820","동원시스템즈","1110","10","0.91","133862026200"
"015860","일진홀딩스","2640","155","6.24","131048747280"
"015890","태경산업","3610","0","0.00","105515787500"
"016580","환인제약","11500","-50","-0.43","106950402500"
"005500","삼진제약","8870","50","0.57","113092500000"
"005560","JS전선","9610","10","0.10","109348730400"
"005740","크라운제과","63800","500","0.79","89193931200"
"005850","에스엘","2600","110","4.42","88049234000"
"005950","이수화학","10600","450","4.43","101423736200"
"005960","동부건설","5570","20","0.36","121372221650"
"006220","제주은행","8700","910","11.68","135100333800"
"006370","대구백화점","8030","-50","-0.62","86897536330"
"006390","현대시멘트","13000","-300","-2.26","95472000000"
"006840","애경유화","14150","400","2.91","84900000000"
"007160","사조산업","21500","-2300","-9.66","107500000000"
"007540","샘표식품","23300","0","0.00","103545200000"
"007590","동방아그로","6370","0","0.00","86743965490"
"007690","국도화학","22000","750","3.53","127833552000"
"002390","한독약품","11400","-50","-0.44","132240000000"
"002410","범양건영","13000","150","1.17","98700654000"
"002620","제일약품","5950","-20","-0.34","88357500000"
"002960","한국쉘석유","70300","400","0.57","91390000000"
"003070","코오롱건설","6120","80","1.32","138429081720"
"003090","대웅","16350","450","2.83","102971090100"
"003230","삼양식품","14200","300","2.16","93614707000"
"003460","유화증권","12200","-200","-1.61","138353892600"
"003520","영진약품","780","10","1.30","92268260760"
"003620","쌍용차","960","-40","-4.00","115972435200"
"004080","신흥","10000","0","0.00","100000000000"
"004130","대덕GDS","4950","200","4.21","99809884350"
"004430","송원산업","4100","50","1.23","98400000000"
"004890","동일산업","40150","-250","-0.62","97372382250"
"004960","한신공영","13650","750","5.81","135249537150"
"005010","휴스틸","14600","-550","-3.63","101011808200"
"005090","삼광유리","19500","-300","-1.52","94661151000"
"076850","맥쿼리센트럴","7140","-60","-0.83","108960684000"
"000050","경방","61000","-500","-0.81","126880000000"
"000180","성창기업","19300","500","2.66","115800000000"
"000230","일동제약","25200","700","2.86","126343047600"
"000360","삼환기업","8410","30","0.36","99450730950"
"000430","대원강업","1750","55","3.24","105000000000"
"092200","디아이씨","1990","40","2.05","43183000000"
"092220","KEC","495","5","1.02","29903435100"
"094280","효성ITX","2820","-70","-2.42","32594124000"
"096760","중외홀딩스","4875","-110","-2.21","43387080750"
"100250","진양홀딩스","660","10","1.54","36890892720"
"017180","명문제약","3230","100","3.19","32946000000"
"017550","수산중공업","720","10","1.41","36324424800"
"018470","조일알미늄","5210","-190","-3.52","36261600000"
"019170","신풍제약","18900","0","0.00","71889495300"
"019300","동일제지","780","-5","-0.64","30958200000"
"021820","세원정공","30000","2500","9.09","30000000000"
"021960","우리파이낸셜","3500","-50","-1.41","59370948000"
"023150","MH에탄올","5800","150","2.65","40600000000"
"023800","인지컨트롤스","2170","0","0.00","32897477760"
"023960","에쓰씨엔지니어링","4345","185","4.45","44218986790"
"024070","WISCOM","3475","-5","-0.14","52215072000"
"024090","디씨엠","5280","-90","-1.68","61776000000"
"024720","한국콜마","2395","25","1.05","51794425675"
"025530","SJM","3200","0","0.00","57021251200"
"025560","미래산업","230","0","0.00","42290905000"
"025750","한솔홈데코","750","5","0.67","40947341250"
"026890","디피씨","730","10","1.39","30425067750"
"026940","부국철강","1540","10","0.65","30800000000"
"027390","한화타임월드","10550","450","4.46","63300000000"
"027840","고덴시","1695","-65","-3.69","39096759825"
"027970","세하","4100","40","0.99","82183167500"
"029460","케이씨텍","2315","15","0.65","68186327155"
"033240","자화전자","3490","-45","-1.27","62191800000"
"033270","유나이티드제약","2435","-15","-0.61","36588124940"
"033530","세종공업","3020","-30","-0.98","60564378600"
"034300","신세계건설","13650","200","1.49","54600000000"
"035510","신세계 I&C","34600","0","0.00","59512000000"
"036580","대상팜스코","1255","75","6.36","38322726435"
"042700","한미반도체","2900","-80","-2.68","73558969800"
"044450","KSS해운","4090","0","0.00","47415124600"
"058730","동아에스텍","2360","35","1.51","28910000000"
"067830","세이브존I&C","1015","5","0.50","41656508425"
"069730","DSR제강","2135","80","3.89","30744000000"
"072130","유엔젤","5580","80","1.45","73432833480"
"075180","새론오토모티브","3075","45","1.49","59040000000"
"077500","유니퀘스트","3010","5","0.17","39432453830"
"078000","텔코웨어","5980","-100","-1.64","58022181880"
"083420","KPX그린케미칼","15750","200","1.29","31500000000"
"084670","동양고속","27950","-50","-0.18","74123400000"
"084690","대상홀딩스","2300","-20","-0.86","81764275500"
"084870","베이직하우스","1675","-25","-1.47","34935171825"
"089470","현대EP","1160","-40","-3.33","37004000000"
"090350","노루페인트","2380","0","0.00","47600000000"
"090370","아비스타","4140","70","1.72","41400000000"
"009180","한솔CSN","820","0","0.00","39346676640"
"009190","대양금속","1455","35","2.46","39695310000"
"009270","신원","1085","15","1.40","68684156450"
"009310","참앤씨","3050","50","1.67","49999659550"
"009380","아세아페이퍼텍","4795","5","0.10","35227939565"
"009420","한올제약","2285","30","1.33","84545000000"
"009450","경동나비엔","18200","-100","-0.55","41932800000"
"009470","삼화전기","6820","710","11.62","45106252400"
"009770","삼정펄프","29150","-50","-0.17","37312000000"
"010100","한국프랜지","6510","210","3.33","39646446840"
"010600","영창실업","645","80","14.16","44866396080"
"010690","화신","1335","-60","-4.30","37380000000"
"010820","퍼스텍","1100","50","4.76","50891324000"
"011000","VGX인터","1210","10","0.83","30982594500"
"011090","에넥스","650","-10","-1.52","29558100000"
"011280","태림포장","600","-10","-1.64","42483564000"
"011400","케이씨오에너지","315","10","3.28","37039166010"
"011420","IB스포츠","1660","-45","-2.64","32573223840"
"011700","한신기계","1100","-170","-13.39","31460000000"
"011800","배명금속","1165","150","14.78","39015100905"
